;user_id;book_id;rating;title
0;-1;77920;5;Yerma
1;-1;16009563;5;Fun Home
2;-1;4443927;5;Zaratustra
3;-1;322;5;Cien años de soledad
5;-1;54008;5;Rayuela
6;-1;2391;5;Moby Dick
7;-1;2371659;5;Mafalda
8;-1;4395;5;Grapes of wrath
10;-1;21536;5;The Magic mountain
11;-1;5107;5;The catcher in the rye
12;-1;38787;5;Pedro Páramo
13;-1;2674648;5;La mano izquierda de la oscuridad
17;-1;13350268;5;Wuthering Heights
18;-1;455592;5;Matar a un ruiseñor
19;-1;13609336;5;el malestar en la cultura
20;-1;463051;5;Kafka en la orilla
21;-1;883438;5;East of Eden
22;-1;1220493;5;Los ojos del hermano eterno
23;-1;34518;5;Mort. Mundodisco
24;-1;19037935;5;El juego de ender
25;-1;8897162;5;Vacas, cerdos, guerras y brujas
26;-1;1685995;5;Dune  (Dune #1)
27;-1;949065;5;Texaco
527;-1;581113;4;The benefactor
528;-1;271554;4;La mujer rota
531;-1;21455171;5;Cheri
532;-1;29779228;5;Eileen